的,0,0
者,1,0
外,2,0
果,3,0
报,4,0
八,5,0
术,6,0
单,7,0
消,8,0
依,9,0
孩,10,0
印,11,0
创,12,0
佛,13,0
减,14,0
隐,15,0
徐,16,0
炮,17,0
婆,18,0
患,19,0
蒋,20,0
闭,21,0
甘,22,0
懂,23,0
祥,24,0
慰,25,0
仗,26,0
舟,27,0
券,28,0
慕,29,0
襄,30,0
梯,31,0
庸,32,0
饿,33,0
挣,34,0
狭,35,0
爽,36,0
膜,37,0
澄,38,0
驴,39,0
嘻,40,0
羌,41,0
梢,42,0
诘,43,0
蜡,44,0
咖,45,0
睦,46,0
攸,47,0
嗜,48,0
鞠,49,0
粥,50,0
蟹,51,0
砦,52,0
拷,53,0
饵,54,0
嬉,55,0
钡,56,0
椿,57,0
酶,58,0
吠,59,0
谯,60,0
卉,61,0
柿,62,0
涟,63,0
一,0,1
多,1,1
第,2,1
位,3,1
直,4,1
府,5,1
近,6,1
联,7,1
图,8,1
按,9,1
革,10,1
速,11,1
胡,12,1
杨,13,1
伊,14,1
私,15,1
秘,16,1
盘,17,1
庙,18,1
奴,19,1
析,20,1
侧,21,1
肃,22,1
凭,23,1
隶,24,1
肩,25,1
莲,26,1
诊,27,1
哩,28,1
凌,29,1
钢,30,1
锐,31,1
吨,32,1
欠,33,1
颠,34,1
诈,35,1
莉,36,1
惺,37,1
匡,38,1
咒,39,1
钓,40,1
嵩,41,1
绛,42,1
挟,43,1
殆,44,1
伽,45,1
晖,46,1
竿,47,1
屿,48,1
麾,49,1
嗅,50,1
琏,51,1
懊,52,1
膛,53,1
谗,54,1
嗔,55,1
恺,56,1
煽,57,1
峦,58,1
镂,59,1
茹,60,1
洼,61,1
呱,62,1
桔,63,1
不,0,2
日,1,2
王,2,2
信,3,2
白,4,2
眼,5,2
格,6,2
调,7,2
星,8,2
久,9,2
维,10,2
齐,11,2
习,12,2
梦,13,2
妻,14,2
谷,15,2
逃,16,2
旅,17,2
厂,18,2
晓,19,2
浪,20,2
拔,21,2
培,22,2
辈,23,2
穆,24,2
醉,25,2
覆,26,2
豫,27,2
鸿,28,2
戌,29,2
搭,30,2
赦,31,2
鼎,32,2
聊,33,2
寓,34,2
陀,35,2
氧,36,2
祈,37,2
塑,38,2
赚,39,2
摊,40,2
叮,41,2
纬,42,2
窑,43,2
宵,44,2
裘,45,2
札,46,2
虾,47,2
椋,48,2
曜,49,2
啵,50,2
垮,51,2
峨,52,2
缮,53,2
眯,54,2
弁,55,2
谀,56,2
蜕,57,2
掾,58,2
菁,59,2
妪,60,2
醮,61,2
秤,62,2
濉,63,2
是,0,3
都,1,3
高,2,3
度,3,3
总,4,3
领,5,3
济,6,3
吃,7,3
落,8,3
宝,9,3
巴,10,3
低,11,3
负,12,3
救,13,3
鲁,14,3
附,15,3
核,16,3
店,17,3
库,18,3
恨,19,3
盟,20,3
贡,21,3
冠,22,3
虫,23,3
粗,24,3
剩,25,3
锁,26,3
骗,27,3
敦,28,3
抑,29,3
浙,30,3
茫,31,3
喷,32,3
禀,33,3
挖,34,3
姜,35,3
谊,36,3
舜,37,3
吁,38,3
敝,39,3
蝗,40,3
铮,41,3
垣,42,3
盏,43,3
匙,44,3
啤,45,3
篷,46,3
铅,47,3
帜,48,3
晤,49,3
簦,50,3
诙,51,3
浣,52,3
嘀,53,3
桧,54,3
犁,55,3
惚,56,3
蹙,57,3
濒,58,3
昶,59,3
吒,60,3
憋,61,3
腋,62,3
鄱,63,3
了,0,4
三,1,4
问,2,4
产,3,4
非,4,4
清,5,4
干,6,4
古,7,4
礼,8,4
攻,9,4
供,10,4
室,11,4
策,12,4
阵,13,4
野,14,4
骑,15,4
雄,16,4
销,17,4
袭,18,4
悲,19,4
薄,20,4
凶,21,4
彻,22,4
岳,23,4
裂,24,4
逆,25,4
羽,26,4
聪,27,4
溪,28,4
桓,29,4
徽,30,4
讼,31,4
姚,32,4
舱,33,4
串,34,4
後,35,4
柄,36,4
蜜,37,4
脂,38,4
厘,39,4
侨,40,4
妓,41,4
藩,42,4
诰,43,4
孽,44,4
晒,45,4
腕,46,4
贮,47,4
绒,48,4
萝,49,4
斛,50,4
嘟,51,4
蠲,52,4
濮,53,4
嘎,54,4
噬,55,4
髯,56,4
廪,57,4
娼,58,4
辫,59,4
瘛,60,4
蛊,61,4
杳,62,4
邃,63,4
人,0,5
小,1,5
太,2,5
立,3,5
建,4,5
决,5,5
运,6,5
算,7,5
营,8,5
企,9,5
斗,10,5
退,11,5
败,12,5
哈,13,5
释,14,5
郑,15,5
版,16,5
疾,17,5
叔,18,5
猛,19,5
殊,20,5
捕,21,5
井,22,5
障,23,5
荷,24,5
盐,25,5
咸,26,5
酸,27,5
蛮,28,5
械,29,5
兆,30,5
拳,31,5
勉,32,5
肤,33,5
蜂,34,5
驳,35,5
栏,36,5
募,37,5
伺,38,5
睿,39,5
梗,40,5
颍,41,5
坎,42,5
匀,43,5
荫,44,5
闺,45,5
鳞,46,5
栅,47,5
汹,48,5
佟,49,5
溯,50,5
觯,51,5
潼,52,5
佞,53,5
鳍,54,5
蟆,55,5
盎,56,5
潦,57,5
觥,58,5
穗,59,5
涞,60,5
祟,61,5
愍,62,5
嘤,63,5
在,0,6
军,1,6
头,2,6
声,3,6
夫,4,6
笑,5,6
怎,6,6
坐,7,6
增,8,6
案,9,6
降,10,6
脸,11,6
宋,12,6
暗,13,6
亮,14,6
殿,15,6
勒,16,6
俄,17,6
尝,18,6
圆,19,6
阻,20,6
唱,21,6
俊,22,6
倍,23,6
凉,24,6
邓,25,6
铺,26,6
屯,27,6
裕,28,6
雾,29,6
锡,30,6
耀,31,6
毅,32,6
痕,33,6
顽,34,6
轩,35,6
盒,36,6
慨,37,6
匈,38,6
禹,39,6
掏,40,6
愣,41,6
稣,42,6
谍,43,6
狡,44,6
拣,45,6
诫,46,6
邹,47,6
麽,48,6
缉,49,6
垃,50,6
趾,51,6
